student_id,cgpa,attendance,aptitude_score,communication_score,internships,certifications,projects,placement_status
1001,9.2,96,92,90,3,4,5,1
1002,8.8,91,88,85,2,3,4,1
1003,7.5,82,72,70,1,2,2,1
1004,6.4,70,58,55,0,1,1,0
1005,8.1,88,80,78,2,2,3,1
1006,5.9,65,50,48,0,0,1,0
1007,9.5,98,95,94,4,5,6,1
1008,7.0,78,65,60,1,1,2,0
1009,8.4,89,82,80,2,3,4,1
1010,6.8,74,60,58,0,1,1,0
1011,9.0,94,90,88,3,4,5,1
1012,7.3,80,68,66,1,1,2,0
1013,8.7,90,85,84,2,3,4,1
1014,6.1,68,55,50,0,0,1,0
1015,8.9,92,89,87,3,3,5,1
1016,7.1,79,67,65,1,1,2,0
1017,9.3,97,93,92,4,5,6,1
1018,6.7,72,59,57,0,1,1,0
1019,8.0,86,78,75,2,2,3,1
1020,5.8,63,48,45,0,0,1,0
1021,8.6,90,84,82,2,3,4,1
1022,7.4,81,70,68,1,2,2,0
1023,9.1,95,91,89,3,4,5,1
1024,6.5,71,57,54,0,1,1,0
1025,8.3,87,80,79,2,2,4,1
1026,6.0,66,52,50,0,0,1,0
1027,9.4,98,96,95,4,5,6,1
1028,7.2,78,66,64,1,1,2,0
1029,8.5,89,83,81,2,3,4,1
1030,6.3,69,56,52,0,0,1,0
1031,8.8,93,88,86,3,4,5,1
1032,7.0,76,63,61,1,1,2,0
1033,9.0,95,90,89,3,4,5,1
1034,6.2,67,54,51,0,0,1,0
1035,8.2,85,79,77,2,2,3,1
1036,5.7,62,47,44,0,0,1,0
1037,9.6,99,97,96,5,6,7,1
1038,7.3,80,69,67,1,2,2,0
1039,8.4,88,81,80,2,3,4,1
1040,6.6,73,58,56,0,1,1,0
1041,8.9,92,89,88,3,4,5,1
1042,7.1,77,65,63,1,1,2,0
1043,9.2,96,92,91,4,5,6,1
1044,6.4,70,55,53,0,0,1,0
1045,8.1,84,78,76,2,2,3,1
1046,5.9,64,49,46,0,0,1,0
1047,9.3,97,94,93,4,5,6,1
1048,7.2,79,67,65,1,1,2,0
1049,8.7,91,86,85,3,3,5,1
1050,6.1,68,53,50,0,0,1,0
